,dist,y101,y102,y103,y104,y105,y106,y107,y108,y109,y110
0,中山區,558249.881413933,622927.84922041,648991.099664098,671014.592592061,648326.8844,649039.600518964,637079.74582862,642208.831075959,674090.061593041,718842.531982061
1,中正區,665188.680375824,787436.57903872,806734.875085271,755613.53336317,786746.687495973,762396.022985976,783126.429504587,743844.227157071,773663.340585235,844723.987353937
2,信義區,658205.659340972,737080.904944916,776955.546352427,721177.685170163,664833.567960665,695700.787777982,676751.132006161,686389.685396617,700818.525064526,774478.77869214
3,內湖區,516145.921605563,528708.686189263,564569.926798132,561842.660718936,535116.655767847,537136.344933169,531178.231063482,561778.343758652,566618.593347577,607966.955456508
4,北投區,406946.473694259,450403.115184973,462039.672063597,483483.898188805,421362.243810766,474971.452440129,478970.919127032,480727.350340727,470953.0257153,479461.857416518
5,南港區,568577.947972596,570617.822049843,642904.218732707,585631.015605442,566453.909109934,553475.457285517,574823.97460127,577181.292315014,605078.85944594,641217.527256687
6,士林區,544498.735300197,564512.83874358,596107.168772995,581764.481108086,541633.66817771,543124.430161119,550285.476488416,546587.088108238,600532.790729655,598645.937945181
7,大同區,517256.250905704,536575.155857627,577928.513756452,553922.602833333,548046.547571539,556137.613899386,582729.050965957,619691.041614257,629436.610161122,643717.262428415
8,大安區,833477.0339447,925378.831485196,979869.609188918,912743.703340401,857023.014172809,855024.7936883,873264.86275871,865294.971969194,850954.275523239,958049.299337624
9,文山區,421863.241172623,451336.099882524,496504.931363016,470723.963184257,456163.729397216,460826.743332126,450550.424315046,449985.556363695,472380.429148491,508552.235334741
10,松山區,672914.490552174,713934.618616608,832751.284006078,726361.061740234,687329.460827737,679340.000286878,692580.927769697,695113.75014656,717792.432970615,824809.711554185
11,萬華區,416262.077486806,464969.955506686,375279.193062637,478603.506072727,474769.191206326,483897.303236305,479333.712343848,484527.853913146,497964.623123056,528059.198062281
